,Name,Size_Org,Size_ReS,Size_AE,Size_PCA,SSIM_PCA,SSIM_AE,PSNR_PCA,PSNR_AE
108,7124.jpg,5133,158,74,86,0.9172873159453105,0.8186808826884623,32.59356301810209,30.26184122361062
109,9070.jpg,5291,132,57,68,0.9095866078392472,0.8124531763983728,34.0146494151733,28.995539268754342
110,8488.jpg,4980,145,69,76,0.9016486790955031,0.8169151807362164,32.72381556714541,30.35633171755288
111,8355.jpg,5478,118,54,57,0.8772575442133076,0.7834829003686661,34.40897353546453,28.140583631696895
112,6832.jpg,5039,145,66,77,0.9232540773969069,0.8236838573005811,33.233484124469655,29.49771036995221
113,6332.jpg,5122,110,52,56,0.9125423276867136,0.8552757100655858,35.139184984295,32.007184991403335
114,6982.jpg,5063,153,68,82,0.9056101161698377,0.77399100514777,32.73209345323705,29.37666346073651
115,8159.jpg,5123,175,79,96,0.8859720435864162,0.7240049074538344,28.696191370999937,27.561514831732914
116,8529.jpg,5110,167,72,89,0.8985235759507405,0.762561333941955,32.05603585178417,29.8870501206026
117,7998.jpg,5110,164,76,89,0.8832352013945214,0.7488004894407349,28.4080322413232,27.61145784435601
118,7033.jpg,5026,186,82,98,0.8895380272379015,0.7550051902745116,31.02102825295099,29.28814314877925
119,10687.jpg,5639,104,63,94,0.7280165455392592,0.6337489226173721,27.45035311721989,27.358876992998724
120,8957.jpg,5004,115,53,60,0.9226341099207251,0.852228092259064,34.55375856515824,30.61784430392789
121,6938.jpg,5106,159,66,83,0.8892487367442764,0.7469219508621318,32.21870460369405,29.555452725020757
122,9278.jpg,5165,90,43,44,0.9201452066486532,0.8823240763538196,36.938930077251385,32.870203340942595
123,6338.jpg,5076,111,51,57,0.9154825465052195,0.8513958994544091,34.92367329469517,30.42006913057986
124,8015.jpg,5080,181,92,145,0.8106365902705805,0.6473406045591386,27.690401224506402,27.417479680962778
125,8057.jpg,5082,162,83,129,0.8109508942663053,0.7085985253450746,27.579623762997784,27.36942620299287
126,7980.jpg,5315,142,60,73,0.9048669759618035,0.7938184460554685,33.10504329950308,28.797329278755896
127,7752.jpg,6641,68,37,37,0.9468760459275236,0.909543596187895,32.376197725525486,28.35183121423158
128,7051.jpg,5255,132,62,67,0.8905106431306458,0.8067693994222163,33.201054975879856,31.106313089080864
129,7185.jpg,5358,118,59,63,0.8623162461881848,0.7784544959435166,29.56638210663394,28.110811479501404
130,8398.jpg,4957,154,70,82,0.9094082561214968,0.7998375881906387,32.52473550622788,29.47038528492396
131,8802.jpg,5155,165,81,88,0.8783486831523767,0.7575749857306641,29.83915855142335,29.154630933953506
132,7170.jpg,5203,147,71,75,0.8811774472168835,0.7844529307494635,32.676374129374786,30.472518575788673
133,6812.jpg,5211,135,80,124,0.6666339803133042,0.5435506952214665,27.598787589758267,27.524875216919543
134,7973.jpg,5369,146,65,73,0.876408473576278,0.7654227986522153,32.78648166288757,29.036689185814858
135,9723.jpg,5096,137,62,72,0.9216619371815242,0.8262182834479305,33.458647325768254,28.304920350431992
136,8288.jpg,5209,120,75,112,0.6468839270387242,0.5508988366092048,27.5975080660871,27.430276366783623
137,10828.jpg,7214,97,50,51,0.9282076638682355,0.8757057433722601,32.5160015623033,27.616755432383325
138,7081.jpg,5430,115,56,56,0.8798641526592001,0.8135713534959185,34.499953357351075,32.01497237600722
139,7711.jpg,5261,93,44,46,0.908663469515312,0.8468823888909326,35.97238346225965,31.922149597932517
140,8859.jpg,5395,123,58,62,0.895861913987442,0.8169283586779515,33.754647764090336,27.8473217353206
141,8600.jpg,5090,130,57,63,0.8527877079281556,0.7617544184184633,33.48726166848116,29.844588121488506
